Kode_Lokasi,Nama_Lokasi,Skor_SAW,Peringkat_SAW,Skor_TOPSIS,Peringkat_TOPSIS,Perubahan_Peringkat
K042,Kandidat 42,0.6939153956489312,1,0.6444392622303758,1,0
K100,Kandidat 100,0.6746100392901138,2,0.5979899384296827,10,-8
K077,Kandidat 77,0.6590817419640455,3,0.6050615716245086,9,-6
K029,Kandidat 29,0.6584541567235274,4,0.6139637055644389,5,-1
K085,Kandidat 85,0.6290206957440084,5,0.5796476780209247,14,-9
K004,Kandidat 4,0.6221348102808707,6,0.5412978837557079,20,-14
K072,Kandidat 72,0.6027046127205462,7,0.6099259914321161,7,0
K033,Kandidat 33,0.6021304842187633,8,0.5903249260574785,12,-4
K099,Kandidat 99,0.5852434178872341,9,0.4886412958777343,51,-42
K069,Kandidat 69,0.5819228866744763,10,0.5354043850746081,21,-11
K046,Kandidat 46,0.5681564722448962,11,0.5923947190661283,11,0
K071,Kandidat 71,0.5628299756281564,12,0.6267837253703883,3,9
K060,Kandidat 60,0.5569010079611683,13,0.505893511755214,36,-23
K035,Kandidat 35,0.5454858528729902,14,0.4879942006974498,52,-38
K030,Kandidat 30,0.5453440614028788,15,0.5038107896016094,38,-23
K086,Kandidat 86,0.5268221336723359,17,0.6300200411568443,2,15
K049,Kandidat 49,0.5214498882017643,19,0.6119788392168781,6,13
K084,Kandidat 84,0.5208653323391895,20,0.6145760961303776,4,16
K075,Kandidat 75,0.4897014600688307,34,0.6069700298218748,8,26
K031,Kandidat 31,0.4760285276153909,41,0.5789598510772834,15,26
K079,Kandidat 79,0.4483248708510357,54,0.5875137862393137,13,41
