Kode_Lokasi,Nama_Lokasi,Lat,Lon,C1_Aksesibilitas,C2_Kepadatan_Penduduk,C3_Infrastruktur,C4_Kompetisi,C5_Biaya_Sewa,C6_Demografi_Usia_Produktif,C7_Kedekatan_POI,C4_Kompetitor,Skor_TOPSIS
K042,Kandidat 42,-6.900212292359554,112.0503707291833,9,14453,8,0.0,16,42,88.0,42.0,0.6444392622303758
K086,Kandidat 86,-6.8931070667118925,112.04242083618416,10,4081,5,0.0,14,34,61.0,12.0,0.6300200411568443
K071,Kandidat 71,-6.900025640773267,112.06851980237089,7,7752,10,0.0,21,51,65.0,25.0,0.6267837253703883
K084,Kandidat 84,-6.904002116598856,112.04562655741351,8,12204,5,0.0,36,49,62.0,18.0,0.6145760961303776
K029,Kandidat 29,-6.89570537977882,112.04952744274956,10,13893,5,0.0,29,68,92.0,43.0,0.6139637055644389
K049,Kandidat 49,-6.897746095868259,112.0375209471905,8,6854,6,0.0,14,40,42.0,7.0,0.6119788392168781
K072,Kandidat 72,-6.901179179903891,112.0497982839536,4,11311,9,0.0,18,41,86.0,42.0,0.6099259914321161
K075,Kandidat 75,-6.899389227342138,112.06524373918958,4,8177,6,0.0,26,44,75.0,27.0,0.6069700298218748
K077,Kandidat 77,-6.899831023042311,112.05420837167652,8,11932,6,0.0,16,52,91.0,48.0,0.6050615716245086
K100,Kandidat 100,-6.902965039224359,112.05574844123376,10,11130,8,0.0,13,37,80.0,46.0,0.5979899384296827
K046,Kandidat 46,-6.895634774071407,112.04959291428872,6,10509,5,0.0,28,55,92.0,42.0,0.5923947190661283
K033,Kandidat 33,-6.900869974484735,112.05932924222256,7,12358,7,0.0,22,45,83.0,45.0,0.5903249260574785
K079,Kandidat 79,-7.062135193948634,112.00685367238626,6,8949,4,0.0,22,37,39.0,5.0,0.5875137862393137
K085,Kandidat 85,-6.898353980768188,112.05324049353544,8,4664,9,0.0,11,26,88.0,44.0,0.5796476780209247
K031,Kandidat 31,-6.891977620592394,112.0414505440126,4,9002,9,0.0,34,56,46.0,9.0,0.5789598510772834
K034,Kandidat 34,-7.059537907850986,112.0115060106856,6,8919,5,0.0,28,40,33.0,5.0,0.5523686725909761
K095,Kandidat 95,-6.894541631280184,112.0494998191642,6,7070,6,0.0,31,45,81.0,40.0,0.5428799598944367
K088,Kandidat 88,-6.904029697785407,112.06792876807891,6,14041,4,0.0,46,69,57.0,23.0,0.5422488605193453
K056,Kandidat 56,-6.897562503059908,112.06057342108603,7,8222,4,0.0,25,32,76.0,41.0,0.5414253014300623
K004,Kandidat 4,-7.123885666665531,111.93637179964368,7,13729,8,0.0,18,43,5.0,1.0,0.5412978837557079
K069,Kandidat 69,-6.900052417498103,112.05623834443686,9,4693,8,0.0,27,65,90.0,51.0,0.5354043850746081
K048,Kandidat 48,-6.89873332791529,112.05811951609292,5,7777,7,0.0,25,27,92.0,52.0,0.5351576829347583
K043,Kandidat 43,-6.896647445915539,112.04914069402356,8,4148,8,0.0,37,65,87.0,41.0,0.5338370060259074
