Kode_Lokasi,Nama_Lokasi,Lat,Lon,C1_Aksesibilitas,C2_Kepadatan_Penduduk,C3_Infrastruktur,C4_Kompetisi,C5_Biaya_Sewa,C6_Demografi_Usia_Produktif,C7_Kedekatan_POI,C4_Kompetitor,Skor_SAW
K042,Kandidat 42,-6.900212292359554,112.0503707291833,9,14453,8,0.0,16,42,88.0,42.0,0.6939153956489312
K100,Kandidat 100,-6.902965039224359,112.05574844123376,10,11130,8,0.0,13,37,80.0,46.0,0.6746100392901138
K077,Kandidat 77,-6.899831023042311,112.05420837167652,8,11932,6,0.0,16,52,91.0,48.0,0.6590817419640455
K029,Kandidat 29,-6.89570537977882,112.04952744274956,10,13893,5,0.0,29,68,92.0,43.0,0.6584541567235274
K085,Kandidat 85,-6.898353980768188,112.05324049353544,8,4664,9,0.0,11,26,88.0,44.0,0.6290206957440084
K004,Kandidat 4,-7.123885666665531,111.93637179964368,7,13729,8,0.0,18,43,5.0,1.0,0.6221348102808707
K072,Kandidat 72,-6.901179179903891,112.0497982839536,4,11311,9,0.0,18,41,86.0,42.0,0.6027046127205462
K033,Kandidat 33,-6.900869974484735,112.05932924222256,7,12358,7,0.0,22,45,83.0,45.0,0.6021304842187633
K099,Kandidat 99,-6.903294928425355,112.0561772847474,9,13486,8,0.0,54,51,77.0,47.0,0.5852434178872341
K069,Kandidat 69,-6.900052417498103,112.05623834443686,9,4693,8,0.0,27,65,90.0,51.0,0.5819228866744763
K046,Kandidat 46,-6.895634774071407,112.04959291428872,6,10509,5,0.0,28,55,92.0,42.0,0.5681564722448962
K071,Kandidat 71,-6.900025640773267,112.06851980237089,7,7752,10,0.0,21,51,65.0,25.0,0.5628299756281564
K060,Kandidat 60,-6.902162801327994,112.05551401168933,6,12183,8,0.0,48,52,81.0,46.0,0.5569010079611683
K035,Kandidat 35,-6.89689003435026,112.06011447170218,6,13966,7,0.0,58,45,80.0,44.0,0.5454858528729902
K030,Kandidat 30,-6.902943373919286,112.04920552578608,6,12163,5,0.0,57,69,81.0,39.0,0.5453440614028788
K043,Kandidat 43,-6.896647445915539,112.04914069402356,8,4148,8,0.0,37,65,87.0,41.0,0.5406923276923746
K086,Kandidat 86,-6.8931070667118925,112.04242083618416,10,4081,5,0.0,14,34,61.0,12.0,0.5268221336723359
K038,Kandidat 38,-6.900739492400651,112.06166185658884,9,7146,5,0.0,50,60,84.0,42.0,0.5229777739803028
K049,Kandidat 49,-6.897746095868259,112.0375209471905,8,6854,6,0.0,14,40,42.0,7.0,0.5214498882017643
K084,Kandidat 84,-6.904002116598856,112.04562655741351,8,12204,5,0.0,36,49,62.0,18.0,0.5208653323391895
K048,Kandidat 48,-6.89873332791529,112.05811951609292,5,7777,7,0.0,25,27,92.0,52.0,0.518009608995838
