Kode_Lokasi,Nama_Lokasi,Skor_Akhir,Peringkat_SAW,Skor_TOPSIS,Peringkat_TOPSIS,Perubahan_Peringkat
K042,Kandidat 42,0.6939153956489312,1,0.7035123828254081,1,0
K100,Kandidat 100,0.6746100392901138,2,0.6613761263706737,5,-3
K077,Kandidat 77,0.6590817419640455,3,0.6714943444404466,3,0
K029,Kandidat 29,0.6584541567235274,4,0.6634083204988527,4,0
K085,Kandidat 85,0.6290206957440084,5,0.6481056541795699,12,-7
K004,Kandidat 4,0.6221348102808707,6,0.4992887915660323,44,-38
K072,Kandidat 72,0.6027046127205462,7,0.67497479021175,2,5
K033,Kandidat 33,0.6021304842187633,8,0.6516060529793624,10,-2
K099,Kandidat 99,0.5852434178872341,9,0.5115357140468557,40,-31
K082,Kandidat 82,0.5842947909211669,10,0.6600264017616002,6,4
K069,Kandidat 69,0.5819228866744763,11,0.5955203866789837,20,-9
K046,Kandidat 46,0.5681564722448962,12,0.6513673603363964,11,1
K071,Kandidat 71,0.5628299756281564,13,0.6547130820698882,8,5
K060,Kandidat 60,0.5569010079611683,14,0.5401171351118659,30,-16
K066,Kandidat 66,0.5523772172914574,15,0.5747773363316605,25,-10
K035,Kandidat 35,0.5454858528729902,16,0.5106184407472604,43,-27
K030,Kandidat 30,0.5453440614028788,17,0.5227941776991898,39,-22
K020,Kandidat 20,0.5441851289698476,18,0.5106235852096217,42,-24
K043,Kandidat 43,0.5406923276923746,19,0.5797039776274818,22,-3
K061,Kandidat 61,0.5326046158272457,20,0.6476078815835893,13,7
K086,Kandidat 86,0.5268221336723359,21,0.6559055859106941,7,14
K038,Kandidat 38,0.5229777739803028,22,0.5300683629127844,35,-13
K049,Kandidat 49,0.5214498882017643,23,0.6077131245838258,15,8
K084,Kandidat 84,0.5208653323391895,24,0.6133512511131952,14,10
K048,Kandidat 48,0.518009608995838,25,0.60633802191365,16,9
K088,Kandidat 88,0.513667863810808,26,0.5329830734296009,34,-8
K097,Kandidat 97,0.5127398497359555,27,0.4642352598947214,57,-30
K024,Kandidat 24,0.5124804775457047,28,0.5730093491318937,26,2
K008,Kandidat 8,0.5105261598910779,29,0.3931179222577024,78,-49
K096,Kandidat 96,0.5057304556603238,30,0.4872675710945064,46,-16
K036,Kandidat 36,0.5056397221501024,31,0.4760017478452495,49,-18
K095,Kandidat 95,0.4987180655082686,32,0.5993590661453242,19,13
K025,Kandidat 25,0.4962912339646494,33,0.5392653047989527,31,2
K014,Kandidat 14,0.4952665578273816,34,0.5518509889262182,28,6
K011,Kandidat 11,0.4951349737792884,35,0.4630336365240594,59,-24
K028,Kandidat 28,0.4942210553737091,36,0.5114855089725251,41,-5
K027,Kandidat 27,0.4917083303846669,37,0.4679020313170083,54,-17
K075,Kandidat 75,0.4897014600688307,38,0.6532124764907091,9,29
K007,Kandidat 7,0.4883232603501694,39,0.3849773848983778,84,-45
K056,Kandidat 56,0.4860927678801531,40,0.6052509911990226,17,23
K078,Kandidat 78,0.484788343709313,41,0.3903036142723584,80,-39
K074,Kandidat 74,0.4845434305435804,42,0.385776474612252,83,-41
K091,Kandidat 91,0.4840384482924191,43,0.6016025852408026,18,25
K050,Kandidat 50,0.4829016542552511,44,0.5381821134516542,33,11
K039,Kandidat 39,0.4799868930742002,45,0.4506711473267157,62,-17
K031,Kandidat 31,0.4760285276153909,46,0.5566456078233273,27,19
K019,Kandidat 19,0.4698273644972526,47,0.4865205443732345,47,0
K094,Kandidat 94,0.4696621830602695,48,0.4721424283450629,52,-4
K057,Kandidat 57,0.4688899884475873,49,0.4450180778617716,63,-14
K052,Kandidat 52,0.4685231914039034,50,0.5817907656085554,21,29
K080,Kandidat 80,0.4675299513375083,51,0.5270646075802904,38,13
K055,Kandidat 55,0.4633915858735409,52,0.5776211194509457,23,29
K063,Kandidat 63,0.463005415106248,53,0.472163893669267,51,2
K058,Kandidat 58,0.4615062902941861,54,0.4892593724625487,45,9
K032,Kandidat 32,0.460582192372852,55,0.486095724115159,48,7
K013,Kandidat 13,0.4589385177886111,56,0.3812730011901749,85,-29
K093,Kandidat 93,0.4527920214108392,57,0.3724601064099447,88,-31
K076,Kandidat 76,0.4526379916376672,58,0.4615413466721147,60,-2
K005,Kandidat 5,0.4511744917403016,59,0.429428580190867,68,-9
K017,Kandidat 17,0.4509717792624061,60,0.538867654674979,32,28
K079,Kandidat 79,0.4483248708510357,61,0.5763702771235856,24,37
K070,Kandidat 70,0.445445718423924,62,0.3709432923219879,89,-27
K009,Kandidat 9,0.4451661885171161,63,0.3705104094373271,90,-27
K018,Kandidat 18,0.4412843631666689,64,0.3957628215245636,77,-13
K045,Kandidat 45,0.4385908752850522,65,0.3878044987303295,81,-16
K068,Kandidat 68,0.4370816562792663,66,0.4425036153150682,64,2
K059,Kandidat 59,0.4363299995410691,67,0.3463235080247996,93,-26
K026,Kandidat 26,0.4339574974442,68,0.3862744263380438,82,-14
K034,Kandidat 34,0.4299875047056835,69,0.5275800962541811,37,32
K051,Kandidat 51,0.4244519110819625,70,0.4660586969220748,56,14
K041,Kandidat 41,0.4243937570119964,71,0.4529235116459644,61,10
K040,Kandidat 40,0.4225357805088817,72,0.4662120451168011,55,17
K087,Kandidat 87,0.4224887027579429,73,0.5495450734435329,29,44
K002,Kandidat 2,0.4156828235286764,74,0.4749968969909174,50,24
K073,Kandidat 73,0.4142684686930616,75,0.528771172922978,36,39
K054,Kandidat 54,0.4124272189852417,76,0.4716177908054099,53,23
K047,Kandidat 47,0.411682682157807,77,0.4404839193407837,66,11
K053,Kandidat 53,0.4092053488347622,78,0.4262179269505977,70,8
K022,Kandidat 22,0.4085679499089787,79,0.4062770842283824,75,4
K090,Kandidat 90,0.4064147650927081,80,0.4634246796462328,58,22
K067,Kandidat 67,0.4057962711250273,81,0.3342180208991127,96,-15
K001,Kandidat 1,0.3973453054637326,82,0.3669098501220649,91,-9
K092,Kandidat 92,0.3956603754813044,83,0.3106314028283224,99,-16
K037,Kandidat 37,0.3954780079222987,84,0.4280395245599728,69,15
K098,Kandidat 98,0.3912143170202424,85,0.401925131903292,76,9
K044,Kandidat 44,0.3884582762101471,86,0.4351927658336004,67,19
K023,Kandidat 23,0.3877087065462553,87,0.4198170603075583,73,14
K089,Kandidat 89,0.3850619206262454,88,0.3461596318693093,94,-6
K021,Kandidat 21,0.3838069717516278,89,0.4418565609881748,65,24
K016,Kandidat 16,0.3837658253774264,90,0.4233967271928313,71,19
