Kode_Lokasi,Nama_Lokasi,Skor_Akhir,Peringkat_SAW,Skor_TOPSIS,Peringkat_TOPSIS,Perubahan_Peringkat
K042,Kandidat 42,0.6939153956489312,1,0.7035123828254081,1,0
K100,Kandidat 100,0.6746100392901138,2,0.6613761263706737,5,-3
K077,Kandidat 77,0.6590817419640455,3,0.6714943444404466,3,0
K029,Kandidat 29,0.6584541567235274,4,0.6634083204988527,4,0
K085,Kandidat 85,0.6290206957440084,5,0.6481056541795699,12,-7
K004,Kandidat 4,0.6221348102808707,6,0.4992887915660323,44,-38
K072,Kandidat 72,0.6027046127205462,7,0.67497479021175,2,5
K033,Kandidat 33,0.6021304842187633,8,0.6516060529793624,10,-2
K099,Kandidat 99,0.5852434178872341,9,0.5115357140468557,40,-31
K082,Kandidat 82,0.5842947909211669,10,0.6600264017616002,6,4
K069,Kandidat 69,0.5819228866744763,11,0.5955203866789837,20,-9
K046,Kandidat 46,0.5681564722448962,12,0.6513673603363964,11,1
K071,Kandidat 71,0.5628299756281564,13,0.6547130820698882,8,5
K060,Kandidat 60,0.5569010079611683,14,0.5401171351118659,30,-16
K066,Kandidat 66,0.5523772172914574,15,0.5747773363316605,25,-10
K061,Kandidat 61,0.5326046158272457,20,0.6476078815835893,13,7
K086,Kandidat 86,0.5268221336723359,21,0.6559055859106941,7,14
K049,Kandidat 49,0.5214498882017643,23,0.6077131245838258,15,8
K084,Kandidat 84,0.5208653323391895,24,0.6133512511131952,14,10
K075,Kandidat 75,0.4897014600688307,38,0.6532124764907091,9,29
