Kode_Lokasi,Nama_Lokasi,Lat,Lon,C1_Aksesibilitas,C2_Kepadatan_Penduduk,C3_Infrastruktur,C4_Kompetisi,C5_Biaya_Sewa,C6_Demografi_Usia_Produktif,C7_Kedekatan_POI,C4_Kompetitor
K001,Kandidat 1,-6.884845797923145,112.01507334046654,7,6009,7,0.0,45,60,27.0,20.0
K002,Kandidat 2,-6.88140204277436,112.01020359164504,6,10806,5,0.0,19,30,19.0,20.0
K003,Kandidat 3,-6.891479824232754,112.04103832392431,4,3154,6,0.0,46,55,35.0,8.0
K004,Kandidat 4,-7.123885666665531,111.93637179964368,7,13729,8,0.0,18,43,5.0,1.0
K005,Kandidat 5,-6.88919047543823,112.05338326589569,9,4409,9,0.0,33,68,28.0,20.0
K006,Kandidat 6,-6.885303721918655,112.0122197689166,7,3784,4,0.0,44,63,23.0,20.0
K007,Kandidat 7,-6.886111623949861,112.01658915541594,9,14367,8,0.0,58,51,27.0,20.0
K008,Kandidat 8,-7.07114045098239,112.18242522906874,6,11096,9,0.0,44,34,2.0,1.0
K009,Kandidat 9,-6.902437673933333,112.07889531117587,9,10560,7,0.0,57,50,10.0,3.0
K010,Kandidat 10,-6.882045866125081,112.00682844200874,4,10343,8,0.0,45,43,13.0,14.0
K011,Kandidat 11,-6.9032635620228175,112.16934125581164,6,10206,10,0.0,27,63,8.0,3.0
K012,Kandidat 12,-6.882287760591353,112.014855385149,4,8596,4,0.0,58,27,22.0,20.0
K013,Kandidat 13,-6.88302424003512,112.01893141306539,8,8801,9,0.0,48,69,23.0,16.0
K014,Kandidat 14,-6.900818593557286,112.05541983151826,5,5806,9,0.0,41,37,89.0,48.0
K015,Kandidat 15,-7.076579018043836,112.11360322912496,9,3537,9,0.0,33,52,3.0,9.0
K016,Kandidat 16,-7.106136862230224,111.95633875344022,5,8986,7,0.0,32,44,8.0,5.0
K017,Kandidat 17,-6.897430659681318,112.06675830131739,5,4841,8,0.0,41,52,66.0,24.0
K018,Kandidat 18,-6.830197474273471,111.99625458023556,9,13647,7,0.0,46,32,2.0,3.0
K019,Kandidat 19,-6.883150376361696,112.01009075836339,6,11716,5,0.0,21,65,21.0,20.0
K020,Kandidat 20,-6.898057179379058,112.05350783790483,8,9971,5,0.0,58,63,86.0,46.0
K021,Kandidat 21,-6.848573184546099,112.02051522493662,4,8625,8,0.0,22,25,0.0,3.0
K022,Kandidat 22,-7.0856647899966765,112.1150610884293,7,5950,10,0.0,32,27,1.0,2.0
K023,Kandidat 23,-6.884759121405859,112.01249461389989,4,10992,7,0.0,34,37,22.0,20.0
K024,Kandidat 24,-6.899427452626825,112.05121935769812,7,7780,4,0.0,44,52,93.0,43.0
K025,Kandidat 25,-6.896696603724033,112.05070417607271,4,5368,9,0.0,50,49,92.0,43.0
K026,Kandidat 26,-7.073096096154428,112.10834703115451,9,9655,9,0.0,39,57,2.0,8.0
K027,Kandidat 27,-6.884220246420004,112.01022693660782,8,11173,8,0.0,26,62,21.0,20.0
K028,Kandidat 28,-6.900085465885413,112.06369432387521,7,7495,10,0.0,58,30,77.0,28.0
K029,Kandidat 29,-6.89570537977882,112.04952744274956,10,13893,5,0.0,29,68,92.0,43.0
K030,Kandidat 30,-6.902943373919286,112.04920552578608,6,12163,5,0.0,57,69,81.0,39.0
K031,Kandidat 31,-6.891977620592394,112.0414505440126,4,9002,9,0.0,34,56,46.0,9.0
K032,Kandidat 32,-6.900045420861382,112.03448890104625,4,9614,8,0.0,31,69,23.0,5.0
K033,Kandidat 33,-6.900869974484735,112.05932924222257,7,12358,7,0.0,22,45,83.0,45.0
K034,Kandidat 34,-7.059537907850986,112.01150601068561,6,8919,5,0.0,28,40,33.0,5.0
K035,Kandidat 35,-6.8968900343502595,112.06011447170218,6,13966,7,0.0,58,45,80.0,44.0
K036,Kandidat 36,-6.887344629004972,112.0414742259355,9,13174,10,0.0,45,35,31.0,7.0
K037,Kandidat 37,-7.076087862835971,112.1131447765859,10,3853,5,0.0,21,61,3.0,9.0
K038,Kandidat 38,-6.900739492400651,112.06166185658883,9,7146,5,0.0,50,60,84.0,42.0
K039,Kandidat 39,-7.073292573030105,112.10809949339261,9,14928,6,0.0,28,59,2.0,8.0
K040,Kandidat 40,-6.884167090025041,112.01510972833088,9,6769,5,0.0,21,43,23.0,20.0
K041,Kandidat 41,-6.857533420824699,112.02646385388209,9,3574,4,0.0,18,44,4.0,2.0
K042,Kandidat 42,-6.900212292359554,112.0503707291833,9,14453,8,0.0,16,42,88.0,42.0
K043,Kandidat 43,-6.896647445915539,112.04914069402356,8,4148,8,0.0,37,65,87.0,41.0
K044,Kandidat 44,-7.073199523854397,112.11040384459562,6,9293,7,0.0,23,38,2.0,8.0
K045,Kandidat 45,-6.8839838216222375,112.00809423952164,9,9457,10,0.0,40,39,18.0,18.0
K046,Kandidat 46,-6.895634774071407,112.04959291428872,6,10509,5,0.0,28,55,92.0,42.0
K047,Kandidat 47,-6.907346255695643,112.06406815733591,6,12907,4,0.0,56,25,48.0,22.0
K048,Kandidat 48,-6.89873332791529,112.05811951609292,5,7777,7,0.0,25,27,92.0,52.0
K049,Kandidat 49,-6.897746095868259,112.0375209471905,8,6854,6,0.0,14,40,42.0,7.0
K050,Kandidat 50,-6.897908210831055,112.06465819886674,9,5491,7,0.0,44,47,69.0,26.0
K051,Kandidat 51,-7.082344426928227,112.11510978677347,4,13852,7,0.0,21,35,2.0,6.0
K052,Kandidat 52,-6.898673072747008,112.06252011778545,7,6124,5,0.0,34,36,80.0,38.0
K053,Kandidat 53,-6.881288704233745,112.00780492948837,10,8691,6,0.0,30,34,17.0,16.0
K054,Kandidat 54,-7.0599897474611,112.00506456347242,4,6051,7,0.0,45,56,40.0,5.0
K055,Kandidat 55,-6.89736259984847,112.04949068502314,8,3004,4,0.0,32,40,88.0,43.0
K056,Kandidat 56,-6.897562503059908,112.06057342108605,7,8222,4,0.0,25,32,76.0,41.0
K057,Kandidat 57,-6.9003735473479235,112.03628901199399,8,8315,8,0.0,48,62,32.0,6.0
K058,Kandidat 58,-6.903034768550323,112.05497797846132,6,7869,6,0.0,54,36,79.0,45.0
K059,Kandidat 59,-6.931212020922078,112.05911497907418,7,3876,6,0.0,51,48,4.0,1.0
K060,Kandidat 60,-6.902162801327994,112.05551401168931,6,12183,8,0.0,48,52,81.0,46.0
K061,Kandidat 61,-6.90026574084124,112.06174808253085,4,10027,7,0.0,23,32,86.0,42.0
K062,Kandidat 62,-6.885268614471226,112.01774184577839,4,7142,6,0.0,40,52,25.0,17.0
K063,Kandidat 63,-7.073521855426105,112.1117344501994,7,9966,4,0.0,14,60,2.0,8.0
K064,Kandidat 64,-6.830869486693226,111.99765139873631,7,10079,4,0.0,44,50,1.0,3.0
K065,Kandidat 65,-7.076065248642941,112.11106939669253,9,10987,5,0.0,32,32,3.0,9.0
K066,Kandidat 66,-6.898179835740189,112.059416453853,8,9799,6,0.0,38,52,85.0,48.0
K067,Kandidat 67,-6.885594187090424,112.01337285257982,9,7465,7,0.0,52,52,23.0,20.0
K068,Kandidat 68,-6.829183112076985,111.9967303740416,8,3635,8,0.0,20,61,1.0,3.0
K069,Kandidat 69,-6.900052417498103,112.05623834443686,9,4693,8,0.0,27,65,90.0,51.0
K070,Kandidat 70,-6.965945302253597,111.71470802177275,6,12874,7,0.0,56,60,26.0,20.0
K071,Kandidat 71,-6.900025640773267,112.06851980237087,7,7752,10,0.0,21,51,65.0,25.0
K072,Kandidat 72,-6.901179179903891,112.0497982839536,4,11311,9,0.0,18,41,86.0,42.0
K073,Kandidat 73,-6.908571011531506,112.06367827223319,8,3830,5,0.0,19,33,39.0,17.0
