Kode_Lokasi,Nama_Lokasi,Lat,Lon,C1_Aksesibilitas,C2_Kepadatan_Penduduk,C3_Infrastruktur,C4_Kompetisi,C5_Biaya_Sewa,C6_Demografi_Usia_Produktif,C7_Kedekatan_POI,C4_Kompetitor,Skor_TOPSIS
K042,Kandidat 42,-6.900212292359554,112.0503707291833,9,14453,8,0.0,16,42,88.0,42.0,0.7035123828254081
K072,Kandidat 72,-6.901179179903891,112.0497982839536,4,11311,9,0.0,18,41,86.0,42.0,0.67497479021175
K077,Kandidat 77,-6.899831023042311,112.05420837167652,8,11932,6,0.0,16,52,91.0,48.0,0.6714943444404466
K029,Kandidat 29,-6.89570537977882,112.04952744274956,10,13893,5,0.0,29,68,92.0,43.0,0.6634083204988527
K100,Kandidat 100,-6.902965039224359,112.05574844123376,10,11130,8,0.0,13,37,80.0,46.0,0.6613761263706737
K082,Kandidat 82,-6.89758445749269,112.05290179408496,7,10560,5,0.0,18,42,85.0,44.0,0.6600264017616002
K086,Kandidat 86,-6.8931070667118925,112.04242083618416,10,4081,5,0.0,14,34,61.0,12.0,0.6559055859106941
K071,Kandidat 71,-6.900025640773267,112.06851980237089,7,7752,10,0.0,21,51,65.0,25.0,0.6547130820698882
K075,Kandidat 75,-6.899389227342138,112.06524373918958,4,8177,6,0.0,26,44,75.0,27.0,0.6532124764907091
K033,Kandidat 33,-6.900869974484735,112.05932924222256,7,12358,7,0.0,22,45,83.0,45.0,0.6516060529793624
K046,Kandidat 46,-6.895634774071407,112.04959291428872,6,10509,5,0.0,28,55,92.0,42.0,0.6513673603363964
K085,Kandidat 85,-6.898353980768188,112.05324049353544,8,4664,9,0.0,11,26,88.0,44.0,0.6481056541795699
K061,Kandidat 61,-6.90026574084124,112.06174808253084,4,10027,7,0.0,23,32,86.0,42.0,0.6476078815835893
K084,Kandidat 84,-6.904002116598856,112.04562655741351,8,12204,5,0.0,36,49,62.0,18.0,0.6133512511131952
K049,Kandidat 49,-6.897746095868259,112.0375209471905,8,6854,6,0.0,14,40,42.0,7.0,0.6077131245838258
K048,Kandidat 48,-6.89873332791529,112.05811951609292,5,7777,7,0.0,25,27,92.0,52.0,0.60633802191365
K056,Kandidat 56,-6.897562503059908,112.06057342108603,7,8222,4,0.0,25,32,76.0,41.0,0.6052509911990226
K091,Kandidat 91,-6.900335223016247,112.05648121107124,5,3559,5,0.0,17,25,89.0,50.0,0.6016025852408026
K095,Kandidat 95,-6.894541631280184,112.0494998191642,6,7070,6,0.0,31,45,81.0,40.0,0.5993590661453242
K069,Kandidat 69,-6.900052417498103,112.05623834443686,9,4693,8,0.0,27,65,90.0,51.0,0.5955203866789837
K052,Kandidat 52,-6.898673072747008,112.06252011778544,7,6124,5,0.0,34,36,80.0,38.0,0.5817907656085554
K043,Kandidat 43,-6.896647445915539,112.04914069402356,8,4148,8,0.0,37,65,87.0,41.0,0.5797039776274818
K055,Kandidat 55,-6.89736259984847,112.04949068502314,8,3004,4,0.0,32,40,88.0,43.0,0.5776211194509457
K079,Kandidat 79,-7.062135193948634,112.00685367238626,6,8949,4,0.0,22,37,39.0,5.0,0.5763702771235856
K066,Kandidat 66,-6.898179835740189,112.059416453853,8,9799,6,0.0,38,52,85.0,48.0,0.5747773363316605
K024,Kandidat 24,-6.899427452626825,112.05121935769812,7,7780,4,0.0,44,52,93.0,43.0,0.5730093491318937
K031,Kandidat 31,-6.891977620592394,112.0414505440126,4,9002,9,0.0,34,56,46.0,9.0,0.5566456078233273
K014,Kandidat 14,-6.900818593557286,112.05541983151826,5,5806,9,0.0,41,37,89.0,48.0,0.5518509889262182
K087,Kandidat 87,-6.899476375286648,112.0671697888008,4,3512,6,0.0,38,54,70.0,26.0,0.5495450734435329
K060,Kandidat 60,-6.902162801327994,112.05551401168933,6,12183,8,0.0,48,52,81.0,46.0,0.5401171351118659
K025,Kandidat 25,-6.896696603724033,112.05070417607271,4,5368,9,0.0,50,49,92.0,43.0,0.5392653047989527
K017,Kandidat 17,-6.897430659681318,112.0667583013174,5,4841,8,0.0,41,52,66.0,24.0,0.538867654674979
K050,Kandidat 50,-6.897908210831055,112.06465819886674,9,5491,7,0.0,44,47,69.0,26.0,0.5381821134516542
K088,Kandidat 88,-6.904029697785407,112.06792876807891,6,14041,4,0.0,46,69,57.0,23.0,0.5329830734296009
K038,Kandidat 38,-6.900739492400651,112.06166185658884,9,7146,5,0.0,50,60,84.0,42.0,0.5300683629127844
K073,Kandidat 73,-6.908571011531506,112.0636782722332,8,3830,5,0.0,19,33,39.0,17.0,0.528771172922978
K034,Kandidat 34,-7.059537907850986,112.0115060106856,6,8919,5,0.0,28,40,33.0,5.0,0.5275800962541811
K080,Kandidat 80,-6.898184152415056,112.06409369678636,7,5838,5,0.0,49,59,73.0,27.0,0.5270646075802904
K030,Kandidat 30,-6.902943373919286,112.04920552578608,6,12163,5,0.0,57,69,81.0,39.0,0.5227941776991898
K099,Kandidat 99,-6.903294928425355,112.0561772847474,9,13486,8,0.0,54,51,77.0,47.0,0.5115357140468557
K028,Kandidat 28,-6.900085465885413,112.0636943238752,7,7495,10,0.0,58,30,77.0,28.0,0.5114855089725251
K020,Kandidat 20,-6.898057179379058,112.05350783790485,8,9971,5,0.0,58,63,86.0,46.0,0.5106235852096217
K035,Kandidat 35,-6.89689003435026,112.06011447170218,6,13966,7,0.0,58,45,80.0,44.0,0.5106184407472604
K004,Kandidat 4,-7.123885666665531,111.93637179964368,7,13729,8,0.0,18,43,5.0,1.0,0.4992887915660323
K058,Kandidat 58,-6.903034768550323,112.05497797846132,6,7869,6,0.0,54,36,79.0,45.0,0.4892593724625487
