Kode_Lokasi,Nama_Lokasi,Area,Lat,Lon,C1_Aksesibilitas,C2_Kepadatan_Penduduk,C3_Infrastruktur,C4_Kompetitor,C5_Biaya_Sewa,C6_Demografi_Usia_Produktif,C7_Kedekatan_POI,Skor_SAW,Rank_SAW,Skor_TOPSIS,Rank_TOPSIS,Vektor_S_WP,Skor_WP,Rank_WP
K001,Kandidat 1 (Jl. Basuki Rahmat #1),Jl. Basuki Rahmat,-6.886351,112.019504,6,12287,9,15,36,44,28,0.46595318378701744,111,0.4661296333185033,87,4.3270019711329955,0.005426678716384893,79
K002,Kandidat 2 (Alun-Alun Tuban #1),Alun-Alun Tuban,-6.875993,112.002172,9,3895,10,1,33,43,2,0.48375389634990484,96,0.40631177204291585,143,2.976125962268708,0.0037324871873111757,169
K003,Kandidat 3 (Jl. Veteran #1),Jl. Veteran,-6.888696,112.03569,7,13511,10,3,33,47,26,0.537377479635686,52,0.5146596364069964,71,5.645807936934352,0.0070806498292710985,7
K004,Kandidat 4 (Jl. Letda Sucipto #1),Jl. Letda Sucipto,-7.122702,111.943511,7,10766,8,1,35,67,6,0.549467521239263,47,0.43166544031558185,123,4.42237295501079,0.005546287556829862,70
K005,Kandidat 5 (Jl. Panglima Sudirman #1),Jl. Panglima Sudirman,-6.893318,112.053669,10,4667,9,42,59,73,76,0.5349114610049244,56,0.5182328766884592,70,4.003661235273269,0.0050211632345024656,108
K006,Kandidat 6 (Jl. Pahlawan #1),Jl. Pahlawan,-6.889432,112.004388,10,10041,8,6,19,66,6,0.5366443442379735,55,0.45274886317504215,100,4.067598831488654,0.005101350115597875,102
K007,Kandidat 7 (Kawasan Pantai Boom #1),Kawasan Pantai Boom,-6.891415,112.009774,9,7830,8,11,61,43,17,0.3685639824252714,174,0.35407842200181305,182,3.3612287926609996,0.0042154611603417965,151
K008,Kandidat 8 (Jl. KH. Agus Salim #1),Jl. KH. Agus Salim,-7.066746,112.184346,8,4453,8,1,52,38,1,0.4176154677515637,144,0.3629964703783548,175,2.2058924119021652,0.002766504263729277,190
K009,Kandidat 9 (Jl. Dr. Wahidin Sudirohusodo #1),Jl. Dr. Wahidin Sudirohusodo,-6.901224,112.071071,7,4691,5,19,64,58,51,0.3986296281126932,159,0.4576913707464768,96,3.637617673183806,0.004562092307123047,139
K010,Kandidat 10 (Jl. Hayam Wuruk #1),Jl. Hayam Wuruk,-6.879549,112.002415,8,5040,8,5,52,50,6,0.33738947419003606,188,0.35821413452729095,179,2.846361321200228,0.003569743786563138,172
K011,Kandidat 11 (Kawasan Kampus Unirow #1),Kawasan Kampus Unirow,-6.909017,112.171059,8,13080,7,3,31,38,1,0.4489144491112558,123,0.4253116242667795,131,2.473346195793089,0.0031019295226822896,181
K012,Kandidat 12 (Jl. Gajah Mada #1),Jl. Gajah Mada,-6.876649,112.019665,10,12847,7,13,45,50,8,0.4200930317617991,140,0.37467779568941945,166,3.1792009750914723,0.003987172268868078,157
K013,Kandidat 13 (Kawasan GOR Rangga Jaya #1),Kawasan GOR Rangga Jaya,-6.879035,112.019948,9,8801,8,15,24,57,15,0.4772541639874182,102,0.4332781462554707,120,4.07868937527983,0.005115259242135423,101
K014,Kandidat 14 (Jl. RE Martadinata #1),Jl. RE Martadinata,-6.904271,112.049224,7,7768,5,37,42,51,76,0.5149491652977658,72,0.5885258595294874,35,4.310694192457976,0.005406226431861419,81
K015,Kandidat 15 (Jl. Diponegoro #1),Jl. Diponegoro,-7.080397,112.116889,6,12586,8,6,15,34,2,0.5389998024053968,51,0.45269715385814113,101,3.105081519734326,0.0038942158816188837,163
K016,Kandidat 16 (Jl. Brawijaya #1),Jl. Brawijaya,-7.109936,111.950123,8,4004,7,5,63,56,5,0.3108713456791283,196,0.33695866852042794,189,2.5095462289505193,0.003147329536543715,178
K017,Kandidat 17 (Jl. Sunan Kalijaga #1),Jl. Sunan Kalijaga,-6.89978,112.062401,9,8529,7,39,58,63,82,0.5567375193919889,44,0.5637404082767583,45,4.3342794230330135,0.005435805680874119,78
K018,Kandidat 18 (Jl. Teuku Umar #1),Jl. Teuku Umar,-6.8299,112.001945,8,8410,9,3,35,42,2,0.4118795523335859,150,0.40417947849553765,144,2.7495952449027303,0.0034483853008922365,174
K019,Kandidat 19 (Kawasan Manunggal #1),Kawasan Manunggal,-6.883967,112.011214,10,12942,8,20,32,72,21,0.515905135550754,71,0.4361169105122416,116,4.293881656707117,0.005385141109844855,83
K020,Kandidat 20 (Jl. Ronggolawe #1),Jl. Ronggolawe,-6.900562,112.059636,6,6986,10,46,17,47,83,0.6810143909978575,3,0.6275574795931764,16,5.447783156943293,0.006832298461265389,12
