Kode_Lokasi,Nama_Lokasi,Area,Lat,Lon,C1_Aksesibilitas,C2_Kepadatan_Penduduk,C3_Infrastruktur,C4_Kompetitor,C5_Biaya_Sewa,C6_Demografi_Usia_Produktif,C7_Kedekatan_POI
K001,Kandidat 1 (Jl. Basuki Rahmat #1),Jl. Basuki Rahmat,-6.886351,112.019504,6,12287,9,15,36,44,28
K002,Kandidat 2 (Alun-Alun Tuban #1),Alun-Alun Tuban,-6.875993,112.002172,9,3895,10,1,33,43,2
K003,Kandidat 3 (Jl. Veteran #1),Jl. Veteran,-6.888696,112.03569,7,13511,10,3,33,47,26
K004,Kandidat 4 (Jl. Letda Sucipto #1),Jl. Letda Sucipto,-7.122702,111.943511,7,10766,8,1,35,67,6
K005,Kandidat 5 (Jl. Panglima Sudirman #1),Jl. Panglima Sudirman,-6.893318,112.053669,10,4667,9,42,59,73,76
K006,Kandidat 6 (Jl. Pahlawan #1),Jl. Pahlawan,-6.889432,112.004388,10,10041,8,6,19,66,6
K007,Kandidat 7 (Kawasan Pantai Boom #1),Kawasan Pantai Boom,-6.891415,112.009774,9,7830,8,11,61,43,17
K008,Kandidat 8 (Jl. KH. Agus Salim #1),Jl. KH. Agus Salim,-7.066746,112.184346,8,4453,8,1,52,38,1
K009,Kandidat 9 (Jl. Dr. Wahidin Sudirohusodo #1),Jl. Dr. Wahidin Sudirohusodo,-6.901224,112.071071,7,4691,5,19,64,58,51
K010,Kandidat 10 (Jl. Hayam Wuruk #1),Jl. Hayam Wuruk,-6.879549,112.002415,8,5040,8,5,52,50,6
K011,Kandidat 11 (Kawasan Kampus Unirow #1),Kawasan Kampus Unirow,-6.909017,112.171059,8,13080,7,3,31,38,1
K012,Kandidat 12 (Jl. Gajah Mada #1),Jl. Gajah Mada,-6.876649,112.019665,10,12847,7,13,45,50,8
K013,Kandidat 13 (Kawasan GOR Rangga Jaya #1),Kawasan GOR Rangga Jaya,-6.879035,112.019948,9,8801,8,15,24,57,15
K014,Kandidat 14 (Jl. RE Martadinata #1),Jl. RE Martadinata,-6.904271,112.049224,7,7768,5,37,42,51,76
K015,Kandidat 15 (Jl. Diponegoro #1),Jl. Diponegoro,-7.080397,112.116889,6,12586,8,6,15,34,2
K016,Kandidat 16 (Jl. Brawijaya #1),Jl. Brawijaya,-7.109936,111.950123,8,4004,7,5,63,56,5
K017,Kandidat 17 (Jl. Sunan Kalijaga #1),Jl. Sunan Kalijaga,-6.89978,112.062401,9,8529,7,39,58,63,82
K018,Kandidat 18 (Jl. Teuku Umar #1),Jl. Teuku Umar,-6.8299,112.001945,8,8410,9,3,35,42,2
K019,Kandidat 19 (Kawasan Manunggal #1),Kawasan Manunggal,-6.883967,112.011214,10,12942,8,20,32,72,21
K020,Kandidat 20 (Jl. Ronggolawe #1),Jl. Ronggolawe,-6.900562,112.059636,6,6986,10,46,17,47,83
K021,Kandidat 21 (Jl. Basuki Rahmat #2),Jl. Basuki Rahmat,-6.847231,112.022122,8,10614,7,2,46,47,1
K022,Kandidat 22 (Alun-Alun Tuban #2),Alun-Alun Tuban,-7.089991,112.114706,9,11075,8,1,22,59,1
K023,Kandidat 23 (Jl. Veteran #2),Jl. Veteran,-6.887253,112.005909,8,7219,7,9,64,59,12
K024,Kandidat 24 (Jl. Letda Sucipto #2),Jl. Letda Sucipto,-6.901031,112.050398,5,8335,10,42,31,40,86
K025,Kandidat 25 (Jl. Panglima Sudirman #2),Jl. Panglima Sudirman,-6.897224,112.047566,7,11391,8,42,62,60,84
K026,Kandidat 26 (Jl. Pahlawan #2),Jl. Pahlawan,-7.069674,112.10403,6,11214,9,4,32,36,1
K027,Kandidat 27 (Kawasan Pantai Boom #2),Kawasan Pantai Boom,-6.887824,112.017469,8,3509,10,15,64,36,28
K028,Kandidat 28 (Jl. KH. Agus Salim #2),Jl. KH. Agus Salim,-6.899915,112.060327,5,13516,9,46,32,63,86
K029,Kandidat 29 (Jl. Dr. Wahidin Sudirohusodo #2),Jl. Dr. Wahidin Sudirohusodo,-6.894596,112.058556,10,10949,7,44,36,58,77
K030,Kandidat 30 (Jl. Hayam Wuruk #2),Jl. Hayam Wuruk,-6.908386,112.051523,8,7500,7,12,49,32,37
K031,Kandidat 31 (Kawasan Kampus Unirow #2),Kawasan Kampus Unirow,-6.890687,112.047088,5,5500,8,19,19,69,48
K032,Kandidat 32 (Jl. Gajah Mada #2),Jl. Gajah Mada,-6.903999,112.035648,10,10690,9,6,51,41,29
K033,Kandidat 33 (Kawasan GOR Rangga Jaya #2),Kawasan GOR Rangga Jaya,-6.906089,112.062234,9,10745,6,26,15,44,60
K034,Kandidat 34 (Jl. RE Martadinata #2),Jl. RE Martadinata,-7.054151,112.012021,6,8044,8,3,46,65,22
K035,Kandidat 35 (Jl. Diponegoro #2),Jl. Diponegoro,-6.891302,112.052857,7,10739,5,33,48,34,49
K036,Kandidat 36 (Jl. Brawijaya #2),Jl. Brawijaya,-6.883644,112.046186,8,7863,9,8,58,36,22
K037,Kandidat 37 (Jl. Sunan Kalijaga #2),Jl. Sunan Kalijaga,-7.078432,112.109124,5,8358,7,9,62,54,3
K038,Kandidat 38 (Jl. Teuku Umar #2),Jl. Teuku Umar,-6.905567,112.052287,9,10496,8,30,25,70,67
K039,Kandidat 39 (Kawasan Manunggal #2),Kawasan Manunggal,-7.071082,112.111263,6,10381,7,7,48,49,2
K040,Kandidat 40 (Jl. Ronggolawe #2),Jl. Ronggolawe,-6.884885,112.007411,7,10502,5,16,48,69,17
K041,Kandidat 41 (Jl. Basuki Rahmat #3),Jl. Basuki Rahmat,-6.862069,112.032542,7,13050,7,1,56,48,4
K042,Kandidat 42 (Alun-Alun Tuban #3),Alun-Alun Tuban,-6.90027,112.059534,10,10543,7,47,31,41,86
